"","year","mean","se","lcl","ucl","species","colony","sp_col2"
"88",2007,0.9226352,0.034064,0.8239501,0.9681411,"Black-legged kittiwake","Anda","Black-legged kittiwake-Anda"
"89",2008,0.8185571,0.0372319,0.7340485,0.8805809,"Black-legged kittiwake","Anda","Black-legged kittiwake-Anda"
"90",2009,0.7998015,0.0401821,0.709548,0.8672568,"Black-legged kittiwake","Anda","Black-legged kittiwake-Anda"
"91",2010,0.8602632,0.0395808,0.7635287,0.9214948,"Black-legged kittiwake","Anda","Black-legged kittiwake-Anda"
"92",2011,0.9481467,0.0431557,0.7659605,0.9903063,"Black-legged kittiwake","Anda","Black-legged kittiwake-Anda"
"93",2012,0.7888417,0.0466923,0.6832048,0.8661544,"Black-legged kittiwake","Anda","Black-legged kittiwake-Anda"
"94",2013,0.8566502,0.0388636,0.7626832,0.9174382,"Black-legged kittiwake","Anda","Black-legged kittiwake-Anda"
"95",2014,0.7298267,0.0422131,0.6397174,0.8042936,"Black-legged kittiwake","Anda","Black-legged kittiwake-Anda"
"96",2015,0.7813886,0.0403612,0.6922524,0.8502907,"Black-legged kittiwake","Anda","Black-legged kittiwake-Anda"
"97",2016,0.8194115,0.0407812,0.7255585,0.8862027,"Black-legged kittiwake","Anda","Black-legged kittiwake-Anda"
"98",2017,0.8774585,0.0342277,0.7932565,0.9303769,"Black-legged kittiwake","Anda","Black-legged kittiwake-Anda"
"99",2018,0.839529,0.0338035,0.761865,0.8953435,"Black-legged kittiwake","Anda","Black-legged kittiwake-Anda"
"100",2019,0.8439969,0.0337643,0.7659627,0.8994287,"Black-legged kittiwake","Anda","Black-legged kittiwake-Anda"
"101",2005,0.9535552,0.0251661,0.8708147,0.98426,"Black-legged kittiwake","Hjelmsøya","Black-legged kittiwake-Hjelmsøya"
"102",2006,0.9501192,0.0185613,0.898377,0.976214,"Black-legged kittiwake","Hjelmsøya","Black-legged kittiwake-Hjelmsøya"
"103",2007,0.9674941,0.017568,0.9087446,0.9888838,"Black-legged kittiwake","Hjelmsøya","Black-legged kittiwake-Hjelmsøya"
"104",2008,0.9744476,0.027807,0.8103472,0.9970706,"Black-legged kittiwake","Hjelmsøya","Black-legged kittiwake-Hjelmsøya"
"105",2009,0.9321653,0.0335299,0.8293646,0.9749067,"Black-legged kittiwake","Hjelmsøya","Black-legged kittiwake-Hjelmsøya"
"106",2010,0.829091,0.0341519,0.751533,0.8861083,"Black-legged kittiwake","Hjelmsøya","Black-legged kittiwake-Hjelmsøya"
"107",2011,0.8209312,0.0378567,0.7345681,0.8836455,"Black-legged kittiwake","Hjelmsøya","Black-legged kittiwake-Hjelmsøya"
"108",2013,0.8256931,0.0637358,0.6653955,0.9185928,"Black-legged kittiwake","Hjelmsøya","Black-legged kittiwake-Hjelmsøya"
"109",2014,0.7886795,0.056955,0.6563756,0.8794026,"Black-legged kittiwake","Hjelmsøya","Black-legged kittiwake-Hjelmsøya"
