year;species;site;year;season;MeanAut_SST
2039;Brünnich's guillemot;Bjørnøya;2039;Aut;6.434957433
2040;Brünnich's guillemot;Bjørnøya;2040;Aut;8.674652129
2041;Brünnich's guillemot;Bjørnøya;2041;Aut;8.159715746
2042;Brünnich's guillemot;Bjørnøya;2042;Aut;8.079003322
2043;Brünnich's guillemot;Bjørnøya;2043;Aut;8.507381341
2044;Brünnich's guillemot;Bjørnøya;2044;Aut;6.92966402
2045;Brünnich's guillemot;Bjørnøya;2045;Aut;7.012032862
2046;Brünnich's guillemot;Bjørnøya;2046;Aut;7.379319654
2047;Brünnich's guillemot;Bjørnøya;2047;Aut;8.821926748
2048;Brünnich's guillemot;Bjørnøya;2048;Aut;8.13643244
2049;Brünnich's guillemot;Bjørnøya;2049;Aut;9.634738057
2050;Brünnich's guillemot;Bjørnøya;2050;Aut;8.271037446
1980;Brünnich's guillemot;Isfjorden;1980;Aut;2.877722644
1981;Brünnich's guillemot;Isfjorden;1981;Aut;2.492762023
1982;Brünnich's guillemot;Isfjorden;1982;Aut;2.139910334
1983;Brünnich's guillemot;Isfjorden;1983;Aut;3.105681501
1984;Brünnich's guillemot;Isfjorden;1984;Aut;3.015386884
1985;Brünnich's guillemot;Isfjorden;1985;Aut;3.65943873
1986;Brünnich's guillemot;Isfjorden;1986;Aut;3.094381912
1987;Brünnich's guillemot;Isfjorden;1987;Aut;2.003017515
1988;Brünnich's guillemot;Isfjorden;1988;Aut;2.898314161
1989;Brünnich's guillemot;Isfjorden;1989;Aut;2.604156732
1990;Brünnich's guillemot;Isfjorden;1990;Aut;3.740607561
1991;Brünnich's guillemot;Isfjorden;1991;Aut;3.083119737
1992;Brünnich's guillemot;Isfjorden;1992;Aut;2.710537046
1993;Brünnich's guillemot;Isfjorden;1993;Aut;4.02757711
1994;Brünnich's guillemot;Isfjorden;1994;Aut;2.896771637
1995;Brünnich's guillemot;Isfjorden;1995;Aut;2.795883852
1996;Brünnich's guillemot;Isfjorden;1996;Aut;3.155682452
1997;Brünnich's guillemot;Isfjorden;1997;Aut;2.313212447
1998;Brünnich's guillemot;Isfjorden;1998;Aut;3.933537629
1999;Brünnich's guillemot;Isfjorden;1999;Aut;3.748850954
2000;Brünnich's guillemot;Isfjorden;2000;Aut;3.559488192
2001;Brünnich's guillemot;Isfjorden;2001;Aut;4.277426821
2002;Brünnich's guillemot;Isfjorden;2002;Aut;4.90909408
2003;Brünnich's guillemot;Isfjorden;2003;Aut;4.366426225
2004;Brünnich's guillemot;Isfjorden;2004;Aut;5.058231978
2005;Brünnich's guillemot;Isfjorden;2005;Aut;4.134164468
2006;Brünnich's guillemot;Isfjorden;2006;Aut;4.284518631
2007;Brünnich's guillemot;Isfjorden;2007;Aut;3.482863865
2008;Brünnich's guillemot;Isfjorden;2008;Aut;4.322696834
2009;Brünnich's guillemot;Isfjorden;2009;Aut;4.556378412
2010;Brünnich's guillemot;Isfjorden;2010;Aut;4.729684012
2011;Brünnich's guillemot;Isfjorden;2011;Aut;4.357247806
2012;Brünnich's guillemot;Isfjorden;2012;Aut;3.921812538
2013;Brünnich's guillemot;Isfjorden;2013;Aut;4.801627498
2014;Brünnich's guillemot;Isfjorden;2014;Aut;4.983900036
2015;Brünnich's guillemot;Isfjorden;2015;Aut;4.801807275
2016;Brünnich's guillemot;Isfjorden;2016;Aut;4.123391525
2017;Brünnich's guillemot;Isfjorden;2017;Aut;3.828475041
2018;Brünnich's guillemot;Isfjorden;2018;Aut;3.730867936
2019;Brünnich's guillemot;Isfjorden;2019;Aut;4.367379959
2020;Brünnich's guillemot;Isfjorden;2020;Aut;4.570846439
2021;Brünnich's guillemot;Isfjorden;2021;Aut;5.105772182
2022;Brünnich's guillemot;Isfjorden;2022;Aut;4.805173879
2023;Brünnich's guillemot;Isfjorden;2023;Aut;3.96601404
2024;Brünnich's guillemot;Isfjorden;2024;Aut;4.716132305
2025;Brünnich's guillemot;Isfjorden;2025;Aut;4.569819146
2026;Brünnich's guillemot;Isfjorden;2026;Aut;5.380327656
2027;Brünnich's guillemot;Isfjorden;2027;Aut;4.712495561
2028;Brünnich's guillemot;Isfjorden;2028;Aut;4.516571758
2029;Brünnich's guillemot;Isfjorden;2029;Aut;5.536010425
2030;Brünnich's guillemot;Isfjorden;2030;Aut;4.703486138
2031;Brünnich's guillemot;Isfjorden;2031;Aut;4.64034408
2032;Brünnich's guillemot;Isfjorden;2032;Aut;4.281750647
2033;Brünnich's guillemot;Isfjorden;2033;Aut;3.710557021
2034;Brünnich's guillemot;Isfjorden;2034;Aut;5.025759055
2035;Brünnich's guillemot;Isfjorden;2035;Aut;5.002724229
2036;Brünnich's guillemot;Isfjorden;2036;Aut;4.505845107
2037;Brünnich's guillemot;Isfjorden;2037;Aut;4.927863738
2038;Brünnich's guillemot;Isfjorden;2038;Aut;5.436982549
2039;Brünnich's guillemot;Isfjorden;2039;Aut;4.859172712
2040;Brünnich's guillemot;Isfjorden;2040;Aut;5.626875444
2041;Brünnich's guillemot;Isfjorden;2041;Aut;4.967002017
2042;Brünnich's guillemot;Isfjorden;2042;Aut;4.975568499
2043;Brünnich's guillemot;Isfjorden;2043;Aut;4.707382242
2044;Brünnich's guillemot;Isfjorden;2044;Aut;5.203173511
2045;Brünnich's guillemot;Isfjorden;2045;Aut;5.66144861
2046;Brünnich's guillemot;Isfjorden;2046;Aut;5.730351119
2047;Brünnich's guillemot;Isfjorden;2047;Aut;5.611870624
2048;Brünnich's guillemot;Isfjorden;2048;Aut;5.023164189
2049;Brünnich's guillemot;Isfjorden;2049;Aut;5.697764686
2050;Brünnich's guillemot;Isfjorden;2050;Aut;6.055389166
1980;Brünnich's guillemot;Jan Mayen;1980;Aut;3.390470644
1981;Brünnich's guillemot;Jan Mayen;1981;Aut;1.595490069
1982;Brünnich's guillemot;Jan Mayen;1982;Aut;2.185174394
1983;Brünnich's guillemot;Jan Mayen;1983;Aut;2.526862539
1984;Brünnich's guillemot;Jan Mayen;1984;Aut;2.526951924
1985;Brünnich's guillemot;Jan Mayen;1985;Aut;3.153902381
1986;Brünnich's guillemot;Jan Mayen;1986;Aut;3.307885075
1987;Brünnich's guillemot;Jan Mayen;1987;Aut;2.585362902
1988;Brünnich's guillemot;Jan Mayen;1988;Aut;3.023541293
1989;Brünnich's guillemot;Jan Mayen;1989;Aut;2.273438567
1990;Brünnich's guillemot;Jan Mayen;1990;Aut;3.102708227
1991;Brünnich's guillemot;Jan Mayen;1991;Aut;3.186489818
1992;Brünnich's guillemot;Jan Mayen;1992;Aut;2.417203376
1993;Brünnich's guillemot;Jan Mayen;1993;Aut;2.370413091
1994;Brünnich's guillemot;Jan Mayen;1994;Aut;3.280117748
1995;Brünnich's guillemot;Jan Mayen;1995;Aut;2.161997711
1996;Brünnich's guillemot;Jan Mayen;1996;Aut;3.074462624
1997;Brünnich's guillemot;Jan Mayen;1997;Aut;2.379424282
1998;Brünnich's guillemot;Jan Mayen;1998;Aut;2.745124925
1999;Brünnich's guillemot;Jan Mayen;1999;Aut;3.932107961
2000;Brünnich's guillemot;Jan Mayen;2000;Aut;3.43911533
2001;Brünnich's guillemot;Jan Mayen;2001;Aut;4.034346183
2002;Brünnich's guillemot;Jan Mayen;2002;Aut;4.080533454
2003;Brünnich's guillemot;Jan Mayen;2003;Aut;5.197604887
2004;Brünnich's guillemot;Jan Mayen;2004;Aut;5.392148277
2005;Brünnich's guillemot;Jan Mayen;2005;Aut;3.510979391
2006;Brünnich's guillemot;Jan Mayen;2006;Aut;4.033617764
2007;Brünnich's guillemot;Jan Mayen;2007;Aut;3.627721301
2008;Brünnich's guillemot;Jan Mayen;2008;Aut;5.086007941
2009;Brünnich's guillemot;Jan Mayen;2009;Aut;4.25656885
2010;Brünnich's guillemot;Jan Mayen;2010;Aut;4.548658427
2011;Brünnich's guillemot;Jan Mayen;2011;Aut;3.662625406
2012;Brünnich's guillemot;Jan Mayen;2012;Aut;3.799907814
2013;Brünnich's guillemot;Jan Mayen;2013;Aut;3.9769091
2014;Brünnich's guillemot;Jan Mayen;2014;Aut;5.37049714
2015;Brünnich's guillemot;Jan Mayen;2015;Aut;4.359017861
2016;Brünnich's guillemot;Jan Mayen;2016;Aut;4.645649628
2017;Brünnich's guillemot;Jan Mayen;2017;Aut;3.160535535
2018;Brünnich's guillemot;Jan Mayen;2018;Aut;3.700595943
2019;Brünnich's guillemot;Jan Mayen;2019;Aut;3.962716258
2020;Brünnich's guillemot;Jan Mayen;2020;Aut;4.057329422
2021;Brünnich's guillemot;Jan Mayen;2021;Aut;4.726503533
2022;Brünnich's guillemot;Jan Mayen;2022;Aut;4.803854087
2023;Brünnich's guillemot;Jan Mayen;2023;Aut;4.312947324
2024;Brünnich's guillemot;Jan Mayen;2024;Aut;4.57470543
2025;Brünnich's guillemot;Jan Mayen;2025;Aut;4.214465932
2026;Brünnich's guillemot;Jan Mayen;2026;Aut;4.797765913
2027;Brünnich's guillemot;Jan Mayen;2027;Aut;4.864244205
2028;Brünnich's guillemot;Jan Mayen;2028;Aut;4.371491713
2029;Brünnich's guillemot;Jan Mayen;2029;Aut;4.34285255
2030;Brünnich's guillemot;Jan Mayen;2030;Aut;5.07907995
2031;Brünnich's guillemot;Jan Mayen;2031;Aut;4.146279991
2032;Brünnich's guillemot;Jan Mayen;2032;Aut;4.612272402
2033;Brünnich's guillemot;Jan Mayen;2033;Aut;4.046677953
2034;Brünnich's guillemot;Jan Mayen;2034;Aut;4.142579192
2035;Brünnich's guillemot;Jan Mayen;2035;Aut;5.161903657
2036;Brünnich's guillemot;Jan Mayen;2036;Aut;4.260100885
2037;Brünnich's guillemot;Jan Mayen;2037;Aut;4.710713104
2038;Brünnich's guillemot;Jan Mayen;2038;Aut;4.756185296
2039;Brünnich's guillemot;Jan Mayen;2039;Aut;5.673623074
2040;Brünnich's guillemot;Jan Mayen;2040;Aut;5.825986835
2041;Brünnich's guillemot;Jan Mayen;2041;Aut;3.909750416
2042;Brünnich's guillemot;Jan Mayen;2042;Aut;4.550000534
2043;Brünnich's guillemot;Jan Mayen;2043;Aut;4.43914268
2044;Brünnich's guillemot;Jan Mayen;2044;Aut;5.796268384
2045;Brünnich's guillemot;Jan Mayen;2045;Aut;5.233010614
2046;Brünnich's guillemot;Jan Mayen;2046;Aut;5.397371286
2047;Brünnich's guillemot;Jan Mayen;2047;Aut;4.666183455
2048;Brünnich's guillemot;Jan Mayen;2048;Aut;4.579026586
2049;Brünnich's guillemot;Jan Mayen;2049;Aut;5.025246942
2050;Brünnich's guillemot;Jan Mayen;2050;Aut;6.479385193
1980;Brünnich's guillemot;Kongsfjorden;1980;Aut;3.461175685
1981;Brünnich's guillemot;Kongsfjorden;1981;Aut;2.789307761
1982;Brünnich's guillemot;Kongsfjorden;1982;Aut;2.622685323
1983;Brünnich's guillemot;Kongsfjorden;1983;Aut;3.405416089
1984;Brünnich's guillemot;Kongsfjorden;1984;Aut;3.300604278
1985;Brünnich's guillemot;Kongsfjorden;1985;Aut;3.903373917
1986;Brünnich's guillemot;Kongsfjorden;1986;Aut;3.655161333
1987;Brünnich's guillemot;Kongsfjorden;1987;Aut;2.622842776
1988;Brünnich's guillemot;Kongsfjorden;1988;Aut;3.440178411
1989;Brünnich's guillemot;Kongsfjorden;1989;Aut;3.027004607
1990;Brünnich's guillemot;Kongsfjorden;1990;Aut;3.994720253
1991;Brünnich's guillemot;Kongsfjorden;1991;Aut;3.473717672
1992;Brünnich's guillemot;Kongsfjorden;1992;Aut;3.145447308
1993;Brünnich's guillemot;Kongsfjorden;1993;Aut;4.282943003
1994;Brünnich's guillemot;Kongsfjorden;1994;Aut;3.48313979
1995;Brünnich's guillemot;Kongsfjorden;1995;Aut;3.11521692
1996;Brünnich's guillemot;Kongsfjorden;1996;Aut;3.540646112
1997;Brünnich's guillemot;Kongsfjorden;1997;Aut;2.735965393
1998;Brünnich's guillemot;Kongsfjorden;1998;Aut;4.184208171
1999;Brünnich's guillemot;Kongsfjorden;1999;Aut;4.297374722
2000;Brünnich's guillemot;Kongsfjorden;2000;Aut;3.941859384
2001;Brünnich's guillemot;Kongsfjorden;2001;Aut;4.59631843
2002;Brünnich's guillemot;Kongsfjorden;2002;Aut;5.144470156
2003;Brünnich's guillemot;Kongsfjorden;2003;Aut;4.979885761
2004;Brünnich's guillemot;Kongsfjorden;2004;Aut;5.517757044
2005;Brünnich's guillemot;Kongsfjorden;2005;Aut;4.484046177
2006;Brünnich's guillemot;Kongsfjorden;2006;Aut;4.693905684
2007;Brünnich's guillemot;Kongsfjorden;2007;Aut;4.030544056
2008;Brünnich's guillemot;Kongsfjorden;2008;Aut;4.980763252
2009;Brünnich's guillemot;Kongsfjorden;2009;Aut;4.994156783
2010;Brünnich's guillemot;Kongsfjorden;2010;Aut;5.147943558
2011;Brünnich's guillemot;Kongsfjorden;2011;Aut;4.752698756
2012;Brünnich's guillemot;Kongsfjorden;2012;Aut;4.334255583
2013;Brünnich's guillemot;Kongsfjorden;2013;Aut;4.926936141
2014;Brünnich's guillemot;Kongsfjorden;2014;Aut;5.556685974
2015;Brünnich's guillemot;Kongsfjorden;2015;Aut;5.1425188
2016;Brünnich's guillemot;Kongsfjorden;2016;Aut;4.783209553
2017;Brünnich's guillemot;Kongsfjorden;2017;Aut;4.214194418
2018;Brünnich's guillemot;Kongsfjorden;2018;Aut;4.139034784
2019;Brünnich's guillemot;Kongsfjorden;2019;Aut;4.755335062
2020;Brünnich's guillemot;Kongsfjorden;2020;Aut;4.875770104
2021;Brünnich's guillemot;Kongsfjorden;2021;Aut;5.393741862
2022;Brünnich's guillemot;Kongsfjorden;2022;Aut;5.283804277
2023;Brünnich's guillemot;Kongsfjorden;2023;Aut;4.492533602
2024;Brünnich's guillemot;Kongsfjorden;2024;Aut;5.17086447
2025;Brünnich's guillemot;Kongsfjorden;2025;Aut;4.909900256
2026;Brünnich's guillemot;Kongsfjorden;2026;Aut;5.604988961
2027;Brünnich's guillemot;Kongsfjorden;2027;Aut;5.067882534
2028;Brünnich's guillemot;Kongsfjorden;2028;Aut;4.892336874
2029;Brünnich's guillemot;Kongsfjorden;2029;Aut;5.818604046
2030;Brünnich's guillemot;Kongsfjorden;2030;Aut;5.179862585
2031;Brünnich's guillemot;Kongsfjorden;2031;Aut;4.851581312
2032;Brünnich's guillemot;Kongsfjorden;2032;Aut;4.684952092
2033;Brünnich's guillemot;Kongsfjorden;2033;Aut;4.103578075
2034;Brünnich's guillemot;Kongsfjorden;2034;Aut;5.27795935
2035;Brünnich's guillemot;Kongsfjorden;2035;Aut;5.436565248
2036;Brünnich's guillemot;Kongsfjorden;2036;Aut;4.814806598
2037;Brünnich's guillemot;Kongsfjorden;2037;Aut;5.212655271
2038;Brünnich's guillemot;Kongsfjorden;2038;Aut;5.68814538
2039;Brünnich's guillemot;Kongsfjorden;2039;Aut;5.431447141
2040;Brünnich's guillemot;Kongsfjorden;2040;Aut;6.009211827
2041;Brünnich's guillemot;Kongsfjorden;2041;Aut;5.111451611
2042;Brünnich's guillemot;Kongsfjorden;2042;Aut;5.268100845
2043;Brünnich's guillemot;Kongsfjorden;2043;Aut;4.980759714
2044;Brünnich's guillemot;Kongsfjorden;2044;Aut;5.745356551
2045;Brünnich's guillemot;Kongsfjorden;2045;Aut;5.94680795
2046;Brünnich's guillemot;Kongsfjorden;2046;Aut;6.039139988
2047;Brünnich's guillemot;Kongsfjorden;2047;Aut;5.81130548
2048;Brünnich's guillemot;Kongsfjorden;2048;Aut;5.254438996
2049;Brünnich's guillemot;Kongsfjorden;2049;Aut;5.819359762
2050;Brünnich's guillemot;Kongsfjorden;2050;Aut;6.574524162
1980;Common guillemot;Hjelmsøya;1980;Aut;6.803600528
1981;Common guillemot;Hjelmsøya;1981;Aut;7.187006071
1982;Common guillemot;Hjelmsøya;1982;Aut;6.329913057
1983;Common guillemot;Hjelmsøya;1983;Aut;7.56265195
1984;Common guillemot;Hjelmsøya;1984;Aut;7.722028408
1985;Common guillemot;Hjelmsøya;1985;Aut;7.067817164
1986;Common guillemot;Hjelmsøya;1986;Aut;6.950182377
1987;Common guillemot;Hjelmsøya;1987;Aut;6.269682289
1988;Common guillemot;Hjelmsøya;1988;Aut;7.143689329
1989;Common guillemot;Hjelmsøya;1989;Aut;7.638076828
1990;Common guillemot;Hjelmsøya;1990;Aut;8.288912918
1991;Common guillemot;Hjelmsøya;1991;Aut;7.160709939
1992;Common guillemot;Hjelmsøya;1992;Aut;7.000359652
1993;Common guillemot;Hjelmsøya;1993;Aut;7.708031316
1994;Common guillemot;Hjelmsøya;1994;Aut;7.987772745
1995;Common guillemot;Hjelmsøya;1995;Aut;6.986788895
1996;Common guillemot;Hjelmsøya;1996;Aut;6.788565838
1997;Common guillemot;Hjelmsøya;1997;Aut;7.277750773
1998;Common guillemot;Hjelmsøya;1998;Aut;7.650847751
1999;Common guillemot;Hjelmsøya;1999;Aut;7.418728319
2000;Common guillemot;Hjelmsøya;2000;Aut;8.050626202
2001;Common guillemot;Hjelmsøya;2001;Aut;8.232786082
2002;Common guillemot;Hjelmsøya;2002;Aut;7.338555453
2003;Common guillemot;Hjelmsøya;2003;Aut;7.131172567
2004;Common guillemot;Hjelmsøya;2004;Aut;9.316419732
2005;Common guillemot;Hjelmsøya;2005;Aut;8.355866663
2006;Common guillemot;Hjelmsøya;2006;Aut;7.62849613
2007;Common guillemot;Hjelmsøya;2007;Aut;8.197900391
2008;Common guillemot;Hjelmsøya;2008;Aut;6.798265873
2009;Common guillemot;Hjelmsøya;2009;Aut;7.135300184
2010;Common guillemot;Hjelmsøya;2010;Aut;7.023904647
2011;Common guillemot;Hjelmsøya;2011;Aut;8.951260057
2012;Common guillemot;Hjelmsøya;2012;Aut;8.112955851
2013;Common guillemot;Hjelmsøya;2013;Aut;10.42000641
2014;Common guillemot;Hjelmsøya;2014;Aut;8.392091484
2015;Common guillemot;Hjelmsøya;2015;Aut;8.972178718
2016;Common guillemot;Hjelmsøya;2016;Aut;7.893774961
2017;Common guillemot;Hjelmsøya;2017;Aut;8.157033254
2018;Common guillemot;Hjelmsøya;2018;Aut;7.451358442
2019;Common guillemot;Hjelmsøya;2019;Aut;8.9551408
2020;Common guillemot;Hjelmsøya;2020;Aut;9.25406731
2021;Common guillemot;Hjelmsøya;2021;Aut;8.450659726
2022;Common guillemot;Hjelmsøya;2022;Aut;8.284534785
2023;Common guillemot;Hjelmsøya;2023;Aut;7.608250678
2024;Common guillemot;Hjelmsøya;2024;Aut;8.576490533
2025;Common guillemot;Hjelmsøya;2025;Aut;9.166566581
2026;Common guillemot;Hjelmsøya;2026;Aut;9.842388825
2027;Common guillemot;Hjelmsøya;2027;Aut;8.692020974
2028;Common guillemot;Hjelmsøya;2028;Aut;8.480145173
2029;Common guillemot;Hjelmsøya;2029;Aut;9.110305832
2030;Common guillemot;Hjelmsøya;2030;Aut;9.397874337
2031;Common guillemot;Hjelmsøya;2031;Aut;8.466827666
2032;Common guillemot;Hjelmsøya;2032;Aut;8.11089432
2033;Common guillemot;Hjelmsøya;2033;Aut;8.482644881
2034;Common guillemot;Hjelmsøya;2034;Aut;8.799205996
2035;Common guillemot;Hjelmsøya;2035;Aut;8.688488223
2036;Common guillemot;Hjelmsøya;2036;Aut;9.248239819
2037;Common guillemot;Hjelmsøya;2037;Aut;9.28325669
2038;Common guillemot;Hjelmsøya;2038;Aut;8.448266602
2039;Common guillemot;Hjelmsøya;2039;Aut;8.197685401
2040;Common guillemot;Hjelmsøya;2040;Aut;10.54484335
2041;Common guillemot;Hjelmsøya;2041;Aut;9.824917284
2042;Common guillemot;Hjelmsøya;2042;Aut;9.231900617
2043;Common guillemot;Hjelmsøya;2043;Aut;9.776060919
2044;Common guillemot;Hjelmsøya;2044;Aut;8.329306349
2045;Common guillemot;Hjelmsøya;2045;Aut;8.650085267
2046;Common guillemot;Hjelmsøya;2046;Aut;8.568944037
2047;Common guillemot;Hjelmsøya;2047;Aut;10.36421117
2048;Common guillemot;Hjelmsøya;2048;Aut;9.562330377
2049;Common guillemot;Hjelmsøya;2049;Aut;11.78043176
2050;Common guillemot;Hjelmsøya;2050;Aut;9.612115934
1980;Common guillemot;Hornøya;1980;Aut;6.497431747
1981;Common guillemot;Hornøya;1981;Aut;7.100967717
1982;Common guillemot;Hornøya;1982;Aut;6.263721942
1983;Common guillemot;Hornøya;1983;Aut;7.435060009
1984;Common guillemot;Hornøya;1984;Aut;7.84462183
1985;Common guillemot;Hornøya;1985;Aut;6.929857868
1986;Common guillemot;Hornøya;1986;Aut;6.775139939
1987;Common guillemot;Hornøya;1987;Aut;6.065624823
1988;Common guillemot;Hornøya;1988;Aut;7.054472196
1989;Common guillemot;Hornøya;1989;Aut;7.826589037
1990;Common guillemot;Hornøya;1990;Aut;8.248871823
1991;Common guillemot;Hornøya;1991;Aut;7.123698447
1992;Common guillemot;Hornøya;1992;Aut;6.78510636
1993;Common guillemot;Hornøya;1993;Aut;7.655966585
1994;Common guillemot;Hornøya;1994;Aut;7.78620057
1995;Common guillemot;Hornøya;1995;Aut;7.064289126
1996;Common guillemot;Hornøya;1996;Aut;6.430703514
1997;Common guillemot;Hornøya;1997;Aut;7.10664664
1998;Common guillemot;Hornøya;1998;Aut;7.301162145
1999;Common guillemot;Hornøya;1999;Aut;7.266562288
2000;Common guillemot;Hornøya;2000;Aut;8.475373287
2001;Common guillemot;Hornøya;2001;Aut;8.21906809
2002;Common guillemot;Hornøya;2002;Aut;7.123373811
2003;Common guillemot;Hornøya;2003;Aut;7.271037315
2004;Common guillemot;Hornøya;2004;Aut;9.362432596
2005;Common guillemot;Hornøya;2005;Aut;8.45346432
2006;Common guillemot;Hornøya;2006;Aut;7.574315699
2007;Common guillemot;Hornøya;2007;Aut;8.184719451
2008;Common guillemot;Hornøya;2008;Aut;6.899706501
2009;Common guillemot;Hornøya;2009;Aut;7.44717593
2010;Common guillemot;Hornøya;2010;Aut;6.797652181
2011;Common guillemot;Hornøya;2011;Aut;8.950298453
2012;Common guillemot;Hornøya;2012;Aut;8.229095547
2013;Common guillemot;Hornøya;2013;Aut;10.53062072
2014;Common guillemot;Hornøya;2014;Aut;8.303498287
2015;Common guillemot;Hornøya;2015;Aut;8.878510495
2016;Common guillemot;Hornøya;2016;Aut;7.663319994
2017;Common guillemot;Hornøya;2017;Aut;8.067799975
2018;Common guillemot;Hornøya;2018;Aut;7.430585867
2019;Common guillemot;Hornøya;2019;Aut;8.946766375
2020;Common guillemot;Hornøya;2020;Aut;9.530517224
2021;Common guillemot;Hornøya;2021;Aut;8.355853183
2022;Common guillemot;Hornøya;2022;Aut;8.196632805
2023;Common guillemot;Hornøya;2023;Aut;7.439215707
2024;Common guillemot;Hornøya;2024;Aut;8.543359375
2025;Common guillemot;Hornøya;2025;Aut;9.445002548
2026;Common guillemot;Hornøya;2026;Aut;9.886745818
2027;Common guillemot;Hornøya;2027;Aut;8.698847762
2028;Common guillemot;Hornøya;2028;Aut;8.32037672
2029;Common guillemot;Hornøya;2029;Aut;9.167235974
2030;Common guillemot;Hornøya;2030;Aut;9.270610069
2031;Common guillemot;Hornøya;2031;Aut;8.746571947
2032;Common guillemot;Hornøya;2032;Aut;7.935527061
2033;Common guillemot;Hornøya;2033;Aut;8.399775497
2034;Common guillemot;Hornøya;2034;Aut;8.536308488
2035;Common guillemot;Hornøya;2035;Aut;8.580637702
2036;Common guillemot;Hornøya;2036;Aut;9.832160928
2037;Common guillemot;Hornøya;2037;Aut;9.294621653
2038;Common guillemot;Hornøya;2038;Aut;8.326883598
2039;Common guillemot;Hornøya;2039;Aut;8.417040485
2040;Common guillemot;Hornøya;2040;Aut;10.61742509
2041;Common guillemot;Hornøya;2041;Aut;9.939742909
2042;Common guillemot;Hornøya;2042;Aut;9.272360628
2043;Common guillemot;Hornøya;2043;Aut;9.836524499
2044;Common guillemot;Hornøya;2044;Aut;8.551186028
2045;Common guillemot;Hornøya;2045;Aut;9.032593304
2046;Common guillemot;Hornøya;2046;Aut;8.427172321
2047;Common guillemot;Hornøya;2047;Aut;10.45996412
2048;Common guillemot;Hornøya;2048;Aut;9.792369544
2049;Common guillemot;Hornøya;2049;Aut;11.97898675
2050;Common guillemot;Hornøya;2050;Aut;9.686859219
1980;Common guillemot;Jan Mayen;1980;Aut;5.676264184
1981;Common guillemot;Jan Mayen;1981;Aut;4.713908248
1982;Common guillemot;Jan Mayen;1982;Aut;4.793048146
1983;Common guillemot;Jan Mayen;1983;Aut;5.097114197
1984;Common guillemot;Jan Mayen;1984;Aut;5.277243067
1985;Common guillemot;Jan Mayen;1985;Aut;5.302950974
1986;Common guillemot;Jan Mayen;1986;Aut;5.269830574
1987;Common guillemot;Jan Mayen;1987;Aut;5.015592919
1988;Common guillemot;Jan Mayen;1988;Aut;5.31735628
1989;Common guillemot;Jan Mayen;1989;Aut;5.257375367
1990;Common guillemot;Jan Mayen;1990;Aut;5.990535213
1991;Common guillemot;Jan Mayen;1991;Aut;5.332123761
1992;Common guillemot;Jan Mayen;1992;Aut;4.986079646
1993;Common guillemot;Jan Mayen;1993;Aut;5.01294369
1994;Common guillemot;Jan Mayen;1994;Aut;5.838627788
1995;Common guillemot;Jan Mayen;1995;Aut;5.010215772
1996;Common guillemot;Jan Mayen;1996;Aut;5.340769568
1997;Common guillemot;Jan Mayen;1997;Aut;5.287559522
1998;Common guillemot;Jan Mayen;1998;Aut;5.417717245
1999;Common guillemot;Jan Mayen;1999;Aut;5.840329206
2000;Common guillemot;Jan Mayen;2000;Aut;6.009751703
2001;Common guillemot;Jan Mayen;2001;Aut;6.338182888
2002;Common guillemot;Jan Mayen;2002;Aut;5.679226155
2003;Common guillemot;Jan Mayen;2003;Aut;6.823462822
2004;Common guillemot;Jan Mayen;2004;Aut;7.473777279
2005;Common guillemot;Jan Mayen;2005;Aut;6.079115384
2006;Common guillemot;Jan Mayen;2006;Aut;5.961003781
2007;Common guillemot;Jan Mayen;2007;Aut;6.262662727
2008;Common guillemot;Jan Mayen;2008;Aut;6.145138777
2009;Common guillemot;Jan Mayen;2009;Aut;6.192008733
2010;Common guillemot;Jan Mayen;2010;Aut;6.122534079
2011;Common guillemot;Jan Mayen;2011;Aut;6.467592551
2012;Common guillemot;Jan Mayen;2012;Aut;6.491746332
2013;Common guillemot;Jan Mayen;2013;Aut;7.266027731
2014;Common guillemot;Jan Mayen;2014;Aut;7.254093088
2015;Common guillemot;Jan Mayen;2015;Aut;6.792952306
2016;Common guillemot;Jan Mayen;2016;Aut;6.775905842
2017;Common guillemot;Jan Mayen;2017;Aut;5.864424978
2018;Common guillemot;Jan Mayen;2018;Aut;5.959325567
2019;Common guillemot;Jan Mayen;2019;Aut;6.492741054
2020;Common guillemot;Jan Mayen;2020;Aut;6.744970602
2021;Common guillemot;Jan Mayen;2021;Aut;6.843864201
2022;Common guillemot;Jan Mayen;2022;Aut;6.693057932
2023;Common guillemot;Jan Mayen;2023;Aut;6.465892142
2024;Common guillemot;Jan Mayen;2024;Aut;6.788628394
2025;Common guillemot;Jan Mayen;2025;Aut;6.820708674
2026;Common guillemot;Jan Mayen;2026;Aut;7.521978407
2027;Common guillemot;Jan Mayen;2027;Aut;6.907971292
2028;Common guillemot;Jan Mayen;2028;Aut;6.538221829
2029;Common guillemot;Jan Mayen;2029;Aut;6.60762889
2030;Common guillemot;Jan Mayen;2030;Aut;7.292804006
2031;Common guillemot;Jan Mayen;2031;Aut;6.556779039
2032;Common guillemot;Jan Mayen;2032;Aut;6.78346714
2033;Common guillemot;Jan Mayen;2033;Aut;6.636913155
2034;Common guillemot;Jan Mayen;2034;Aut;6.666697806
2035;Common guillemot;Jan Mayen;2035;Aut;7.029856986
2036;Common guillemot;Jan Mayen;2036;Aut;6.986542202
